"API Key","API Key"
"sobu API Key","sobu API Key"
"Test API Key","Test API Key"
"sobu Test API Key","sobu Test API Key"
"Settings","Einstellungen"
"Testmode?","Testmodus?"
"Public Key","Public Key"
"Run in Testmode?","Soll die Anbindung im Testmodus laufen?"
"Generate Key","Key generieren"
"Generate RSA Key","RSA Key generieren"
"Sobu Benefit Code","Sobu Gutschrift Code"
"Sobu Benefit","Sobu Gutschrift"
"Sobu Benefit was successfully applied","Sobu Gutschrift erfolgreich angewendet"
"Link not valid","Link ungültig"
"Bitte kopieren Sie diesen Link nach der Generierung in Ihr Sobu-Portal","Bitte kopieren Sie diesen Link nach der Generierung in Ihr Sobu-Portal"
"Mit sobu publizieren und profitieren","Mit sobu publizieren und profitieren"
"Publizieren Sie jetzt Ihren Einkauf gratis mit Sobu und ihren sozialen Netzwerken und verdienen Sie Geld mit Freundschaftswerbung.","Publizieren Sie jetzt Ihren Einkauf gratis mit Sobu und ihren sozialen Netzwerken und verdienen Sie Geld mit Freundschaftswerbung."
"Einkauf publizieren!","Einkauf publizieren!"
"Sie werden nun zur Sobu Plattform weitergeleitet...","Sie werden nun zur Sobu Plattform weitergeleitet..."
"Wenn diese Seite länger als fünf Sekunden angezeigt wird,","Wenn diese Seite länger als fünf Sekunden angezeigt wird,"
"hier klicken","hier klicken"
